NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.951519805656587,0.21164545839268462
2,I(OTH_EMP + OFF_EMP),0,0.7691096586077942,0.6260611294161046
3,OFF_EMP,0.41032957552868815,0.37918207244344526,0.2950880406170791
4,OTH_EMP,1.7433405550618657,0.4138796276997977,0.2882094402246945
5,RET_EMP,0.655632335326039,3.3359547843523805,5.846419265957831
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
