NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.818000639805516,0.19844387442062814
2,I(OTH_EMP + OFF_EMP),0,0.8449173766267839,0.5126863741027019
3,OFF_EMP,0.46390921990189127,0.3839957755415307,0.290948528575027
4,OTH_EMP,1.6407883475097667,0.40042640098806176,0.2843363314674142
5,RET_EMP,0.7107333455919802,3.2682693249271617,4.128694633976669
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
