NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.803741819451098,0.20566125963183102
2,I(OTH_EMP + OFF_EMP),0,0.9766911235080801,0.48063586701662797
3,OFF_EMP,0.46211768532230374,0.3852210725401598,0.300860144429009
4,OTH_EMP,1.8913906026386338,0.4580908429687841,0.299068027859526
5,RET_EMP,0.6507221754300953,3.8730743497477613,4.653486665047536
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
