NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.127914077155275,0.22686539501130698
2,I(OTH_EMP + OFF_EMP),0,0.8149677819236854,0.5559905833278674
3,OFF_EMP,0.45287602002562916,0.38088699710690493,0.27430051988966925
4,OTH_EMP,1.4909956747042603,0.41588466717702605,0.3266673858252254
5,RET_EMP,0.7075390452804274,3.4901160923243535,4.249365892453159
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
