NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9692278992955167,0.2219923333386935
2,I(OTH_EMP + OFF_EMP),0,0.9255173938798007,0.5276587775733933
3,OFF_EMP,0.5332934226818089,0.4451968451334186,0.2699072111613837
4,OTH_EMP,1.5733491108667752,0.3563245727575422,0.20296584946542967
5,RET_EMP,0.5366585191351033,3.850709044236923,4.880231120521622
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
