NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9677417891897488,0.2184641213827304
2,I(OTH_EMP + OFF_EMP),0,0.703157047804423,0.567214362487809
3,OFF_EMP,0.41818727463310484,0.36522083340255973,0.32221550295325174
4,OTH_EMP,1.824486618703643,0.4389820128566917,0.2917681160750439
5,RET_EMP,0.5915624436747204,3.817301533130496,5.9315500384613475
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
