NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0494822948259332,0.20663500100912982
2,I(OTH_EMP + OFF_EMP),0,0.856924598515579,0.3526944818842336
3,OFF_EMP,0.4557169183157086,0.3777586593518673,0.2545373123003456
4,OTH_EMP,1.9073527393079373,0.4206432149089809,0.27057001182682083
5,RET_EMP,0.5943320257970091,3.831484846616401,5.352886264969305
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
