NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0676012906791696,0.1877859093958683
2,I(OTH_EMP + OFF_EMP),0,0.9204225595439858,0.6118282912936879
3,OFF_EMP,0.48794447465248514,0.42073439198210394,0.31860253646949555
4,OTH_EMP,1.7397730829768674,0.38253597465777134,0.264098705118584
5,RET_EMP,0.4584833080615348,3.7525771680992834,4.6107249781743525
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
