NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9711954382775656,0.2004857167754357
2,I(OTH_EMP + OFF_EMP),0,0.7383761438505865,0.5829084696678025
3,OFF_EMP,0.4985051070980944,0.3829812270699614,0.22777421501317058
4,OTH_EMP,1.8146976011090707,0.3807225356581045,0.30943382810590137
5,RET_EMP,0.6697681113564001,4.299449472648476,5.565837634465821
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
