NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9891166368184122,0.22994128486268
2,I(OTH_EMP + OFF_EMP),0,0.8023614474472769,0.6253978422772642
3,OFF_EMP,0.5142277276409305,0.41843168451942037,0.2848127987099515
4,OTH_EMP,1.9231105760373137,0.40974439014394753,0.25961438257118524
5,RET_EMP,0.7586824558929002,4.361028223660329,4.859182667856786
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
