NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9598566855354297,0.19419876219839796
2,I(OTH_EMP + OFF_EMP),0,0.8628776920514224,0.5799676204753834
3,OFF_EMP,0.5248778927670215,0.4107049872771234,0.30513330398374755
4,OTH_EMP,1.5042593284653707,0.406310144501536,0.2695587768089465
5,RET_EMP,0.6297697301891143,3.3968448923829264,5.080594921271557
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
