NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0985049190199223,0.26471826831587125
2,I(OTH_EMP + OFF_EMP),0,0.8799320552011212,0.4423277908604959
3,OFF_EMP,0.48546107598307575,0.37276591422706,0.26194449385592616
4,OTH_EMP,1.4746569402520162,0.3297059357170161,0.310644832863802
5,RET_EMP,0.5293128096621708,3.6053153519849883,4.676350420907534
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
