NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0518123846889376,0.17869901384546166
2,I(OTH_EMP + OFF_EMP),0,0.8842221236055632,0.5897504736550612
3,OFF_EMP,0.48101309986502155,0.4381475273382027,0.2638373714294988
4,OTH_EMP,1.5556803561892605,0.3058115157005425,0.3301451419233628
5,RET_EMP,0.5495158400850199,4.051638630478631,4.8970230636909
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
