NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.106535713238018,0.22014335610783142
2,I(OTH_EMP + OFF_EMP),0,0.9024867506745468,0.6490646163265844
3,OFF_EMP,0.44438101235668287,0.44365580748206934,0.3005835693213006
4,OTH_EMP,1.750763271927732,0.4047695672567991,0.2792078875002065
5,RET_EMP,0.6221178973800792,3.8043034549183914,5.127536852861035
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
