NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1551888458193629,0.2350177006905784
2,I(OTH_EMP + OFF_EMP),0,0.6874388581815726,0.6050521313707634
3,OFF_EMP,0.5221940464253471,0.40273101251215243,0.2837048104710162
4,OTH_EMP,2.083493798220929,0.41821820448665614,0.22574442169439343
5,RET_EMP,0.5477430378431667,4.224774232693152,5.300461712345061
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
