NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.953995248467969,0.1973053966782258
2,I(OTH_EMP + OFF_EMP),0,0.8320566150116637,0.5528276040833006
3,OFF_EMP,0.5040814794741865,0.39629293564495677,0.2649741524109183
4,OTH_EMP,1.7969340987760196,0.3555954867406592,0.29469387342632397
5,RET_EMP,0.6028424987547688,3.9487729981993147,4.819680247501478
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
