NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1618502711927585,0.2083004048850446
2,I(OTH_EMP + OFF_EMP),0,0.7830256390991968,0.5487939407281102
3,OFF_EMP,0.48296466843555536,0.4575739552330601,0.30719170797559164
4,OTH_EMP,1.7543030800934407,0.4636052787938242,0.2866735085913219
5,RET_EMP,0.5219715181111396,3.743171141648618,5.251096525538133
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
