NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9175261114805787,0.20410747709290727
2,I(OTH_EMP + OFF_EMP),0,0.7886124576790706,0.6619990755431343
3,OFF_EMP,0.5088784480915989,0.43939775196351744,0.2594701470445412
4,OTH_EMP,1.3048630672392383,0.363866079662997,0.21640789671722416
5,RET_EMP,0.5610694892814154,4.268654123726991,4.802044055611198
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
