NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0818295925205876,0.192847609422919
2,I(OTH_EMP + OFF_EMP),0,0.8912590245956175,0.5068039981240078
3,OFF_EMP,0.4776949328257292,0.34998613580756466,0.24182278251882924
4,OTH_EMP,1.581375392010067,0.3192144641149439,0.29111875422068284
5,RET_EMP,0.575577301974728,3.4782356059293424,4.779272011901493
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
