NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1468578292059153,0.19365232264833487
2,I(OTH_EMP + OFF_EMP),0,0.8470158909408345,0.6296695052094547
3,OFF_EMP,0.4481985420875993,0.35758063453993344,0.22889919576339543
4,OTH_EMP,1.6220311230403945,0.48792030209565407,0.3143877517698203
5,RET_EMP,0.5841780782149794,4.431976030467742,4.569249769175632
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
