NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0647777205722466,0.21131586246849474
2,I(OTH_EMP + OFF_EMP),0,0.7514772262822071,0.607693103467235
3,OFF_EMP,0.47674047578497664,0.41282021188615453,0.2861714565580217
4,OTH_EMP,1.777440114392164,0.4346963225660347,0.24481235916950947
5,RET_EMP,0.5451576524754529,3.6537684293179304,4.922969058500672
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
