NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0897055670974873,0.21303619668008328
2,I(OTH_EMP + OFF_EMP),0,0.7648179307115099,0.5051883451421703
3,OFF_EMP,0.5509751845054361,0.42420865078793846,0.2665337625278204
4,OTH_EMP,1.981963101293731,0.38950325825195775,0.23574005532424536
5,RET_EMP,0.6879190616622869,3.444407699824649,4.743433371606304
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
