NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.8905257392270798,0.17996069519566218
2,I(OTH_EMP + OFF_EMP),0,0.8187386872072288,0.60348073450198
3,OFF_EMP,0.3545303010080825,0.39599105601178347,0.2603086815273502
4,OTH_EMP,1.950105150100606,0.4256797911774738,0.2512382470327399
5,RET_EMP,0.6262532479126591,4.009628715013776,5.467499123125761
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
