NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0786978712165247,0.2119162310926068
2,I(OTH_EMP + OFF_EMP),0,0.9060097375106291,0.5402008381066917
3,OFF_EMP,0.43282973326509117,0.4815686363327934,0.25091192143460633
4,OTH_EMP,1.8612146397152431,0.40179735510530057,0.2834262049308667
5,RET_EMP,0.5833711463005723,4.172390868529297,4.984590873135018
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
