NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0585574025585955,0.19989242072676014
2,I(OTH_EMP + OFF_EMP),0,0.7337575775735152,0.6195586962279983
3,OFF_EMP,0.33931895311738125,0.3632580240361466,0.26313809873012156
4,OTH_EMP,1.6584873143892984,0.33592196997332,0.27990696284053446
5,RET_EMP,0.5579235135558688,4.143196709412715,5.515339406525028
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
