NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.8941769349594045,0.23362761561854334
2,I(OTH_EMP + OFF_EMP),0,0.8549906435738157,0.5463696236373201
3,OFF_EMP,0.42079926210418017,0.3613963271350573,0.2689844235707324
4,OTH_EMP,1.5354167463981827,0.4333579505837487,0.32341905832068896
5,RET_EMP,0.5706732760812083,3.52782087371013,5.21501964856027
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
