NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0097605028823358,0.19940453114674705
2,I(OTH_EMP + OFF_EMP),0,0.8589189628106163,0.6375736973595166
3,OFF_EMP,0.4595418422383084,0.3663807236111679,0.27680705693384866
4,OTH_EMP,1.4026691864362801,0.42453066527543404,0.23251218853155822
5,RET_EMP,0.5900110796816304,4.071383459261145,4.643109656776986
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
