NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.27516401851748,0.20331887804264773
2,I(OTH_EMP + OFF_EMP),0,0.7877999751859323,0.4966017432485819
3,OFF_EMP,0.4732058158364385,0.43642136061126513,0.24251622653054777
4,OTH_EMP,1.7036861149633162,0.38644341999291854,0.24755903445865562
5,RET_EMP,0.6457843695886928,3.9212009304493267,5.690314137313273
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
