NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0140381677678545,0.18202773054948462
2,I(OTH_EMP + OFF_EMP),0,0.9181870086288968,0.5352016296814491
3,OFF_EMP,0.4950346675990714,0.41452013181918507,0.23308060884307127
4,OTH_EMP,1.7115060231252277,0.42941341549227247,0.2860158770229986
5,RET_EMP,0.6724685397877319,4.029901894325219,5.66432664045954
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
