NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1180428481641402,0.18320246434471757
2,I(OTH_EMP + OFF_EMP),0,0.8064022944003404,0.6608672280515652
3,OFF_EMP,0.45032306350176654,0.376418457327712,0.25827055914314695
4,OTH_EMP,1.6771730577746313,0.3972795222911369,0.30434286223678325
5,RET_EMP,0.6183952336499987,4.119259923751859,4.869771163246547
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
