NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0530143731120694,0.2408578450493894
2,I(OTH_EMP + OFF_EMP),0,0.8090168563268897,0.5653498500072238
3,OFF_EMP,0.4543105778843904,0.43169271190436476,0.2892247717617815
4,OTH_EMP,1.8726581715808597,0.37023440737038127,0.2845230062705951
5,RET_EMP,0.5516823401712481,3.5878284196104664,5.1687892248665905
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
