NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0417292729315224,0.1850384719357744
2,I(OTH_EMP + OFF_EMP),0,0.7325769041633305,0.5307540269895802
3,OFF_EMP,0.6001329740541417,0.34573454277223864,0.28019030342717816
4,OTH_EMP,1.6018089165493268,0.3371133570676801,0.23112293697465291
5,RET_EMP,0.5243976011168667,3.3718248469401955,5.097292907218325
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
