NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.963690600451443,0.17353915782093743
2,I(OTH_EMP + OFF_EMP),0,0.7233311501370147,0.543897856336119
3,OFF_EMP,0.4306881351956502,0.26841159337045195,0.27050460890911754
4,OTH_EMP,1.5518138286051473,0.3916828421666256,0.28061247359682523
5,RET_EMP,0.6129908378727913,3.7728143090191306,4.510629401854479
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
