NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.8476172749769775,0.2067823705323891
2,I(OTH_EMP + OFF_EMP),0,0.8965315339555063,0.5607115515259433
3,OFF_EMP,0.4758418320066827,0.44832736993762423,0.2610444795432165
4,OTH_EMP,1.964067579479666,0.4503992425337627,0.2573372288849999
5,RET_EMP,0.5619676314579503,3.1706151074544353,5.117094345701109
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
