NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1288048456241282,0.20457233936842167
2,I(OTH_EMP + OFF_EMP),0,0.8301151957310479,0.5037591707640284
3,OFF_EMP,0.40391567792566757,0.3357759954791486,0.27273508589307466
4,OTH_EMP,1.7940763227564305,0.5094169347309793,0.2737176363426081
5,RET_EMP,0.6524479459712095,3.8534654980382146,4.84567755377162
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
