NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0213592735516162,0.2173687651013282
2,I(OTH_EMP + OFF_EMP),0,0.9595613641094531,0.5950038198798926
3,OFF_EMP,0.49922150110401764,0.43080013551809293,0.2533886144790601
4,OTH_EMP,1.5979390824844302,0.4083473635569504,0.2621196523827522
5,RET_EMP,0.6142539053063523,4.187100143239154,5.040661177369011
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
