NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0724768557458229,0.2247771638859385
2,I(OTH_EMP + OFF_EMP),0,0.8533955196214889,0.5442077273426904
3,OFF_EMP,0.4340821897984398,0.4144095840900878,0.26568933257040306
4,OTH_EMP,1.8522964441319945,0.3748353780851319,0.29253535264993924
5,RET_EMP,0.6109730882446244,3.6888624177921687,4.605376410078197
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
