NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0052951323268389,0.2264392770576405
2,I(OTH_EMP + OFF_EMP),0,0.8376357018128717,0.4884147085193121
3,OFF_EMP,0.37587770141255256,0.3869031238504695,0.3114648488986079
4,OTH_EMP,1.7307670449429582,0.3731523787321662,0.3315005873132276
5,RET_EMP,0.6677289039790373,3.9988677190703847,5.765355424346103
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
