NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1219383183438598,0.2095004593178536
2,I(OTH_EMP + OFF_EMP),0,0.8735483687285404,0.5509932183399948
3,OFF_EMP,0.4222691588945066,0.32607075387487117,0.3209125536119058
4,OTH_EMP,1.7888891615545262,0.3712818933496457,0.25099106822633444
5,RET_EMP,0.6348574392286155,3.6773563694661076,5.141405390018611
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
