NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9832882596739788,0.2361729353973779
2,I(OTH_EMP + OFF_EMP),0,0.9488756394508426,0.5663780659705897
3,OFF_EMP,0.48458877115926746,0.3720132652828149,0.31606844764945013
4,OTH_EMP,1.6710114555719602,0.4485125556982098,0.2787705940966703
5,RET_EMP,0.6371535722047527,4.325618797670524,5.5082540372199205
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
