NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9859316149041482,0.2027622615059528
2,I(OTH_EMP + OFF_EMP),0,0.7531195913469922,0.5965192976072075
3,OFF_EMP,0.4426532831729554,0.4171691026921712,0.2747484897615859
4,OTH_EMP,1.5314500213491007,0.3983528242677389,0.30773540827199086
5,RET_EMP,0.6387705140413951,3.786227712581547,5.236037026270516
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
