NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9070579831215518,0.21866405741237652
2,I(OTH_EMP + OFF_EMP),0,0.8288208651531309,0.5243297238611485
3,OFF_EMP,0.42606752919824553,0.4121868234900547,0.3031356053584106
4,OTH_EMP,1.5677836236167917,0.4431050157395285,0.3171222670591647
5,RET_EMP,0.6619914601007854,3.7169258978162723,6.551574370811526
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
