NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.8273013596526734,0.23971646711622976
2,I(OTH_EMP + OFF_EMP),0,0.7798445614404004,0.6734958281081803
3,OFF_EMP,0.46176724409889064,0.42893319743889435,0.31763593717732436
4,OTH_EMP,1.411409527291419,0.41124360329257376,0.23969514429092273
5,RET_EMP,0.47029412651255076,3.896949903790721,5.2664504534838565
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
