NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0571513256396254,0.20982706821462127
2,I(OTH_EMP + OFF_EMP),0,0.8804459375294926,0.6209120685372811
3,OFF_EMP,0.4689822052475418,0.3275171483059995,0.24739382241804747
4,OTH_EMP,1.760654335680154,0.3456403397719556,0.25299227153592146
5,RET_EMP,0.5956113226932344,3.6735784405717515,6.18026948579434
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
