NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9754085453434648,0.23263465914714043
2,I(OTH_EMP + OFF_EMP),0,0.7917028219355281,0.517452346323441
3,OFF_EMP,0.49213257157863904,0.4047011223245238,0.2548408535275937
4,OTH_EMP,1.4975024522143394,0.3679891080208332,0.24127816699724325
5,RET_EMP,0.6942248807637348,4.019078173085824,5.78311702448147
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
