NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1778924379128353,0.22875365444848053
2,I(OTH_EMP + OFF_EMP),0,0.8704011440441415,0.46687486088751623
3,OFF_EMP,0.408151094354278,0.3996989761656451,0.305798232788062
4,OTH_EMP,1.9167816339704322,0.3523045563559657,0.34578234382322387
5,RET_EMP,0.6158180348345297,3.9840536527528494,4.758989703234971
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
