NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.2353249450375676,0.1696296284995931
2,I(OTH_EMP + OFF_EMP),0,0.7625361265975285,0.5710201644175087
3,OFF_EMP,0.4419741944144388,0.39279659250654564,0.2958341392398669
4,OTH_EMP,1.5105930641223608,0.35888574162727316,0.24878796418304364
5,RET_EMP,0.6047083574401593,3.7272726345911336,3.807940826557365
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
