NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.173435347329457,0.24195343132738184
2,I(OTH_EMP + OFF_EMP),0,0.7269542640586641,0.5784631055696616
3,OFF_EMP,0.47456589866056076,0.33772842743414927,0.2463394334756147
4,OTH_EMP,1.8840154744091246,0.34919340076936756,0.2604729863756208
5,RET_EMP,0.4991302576573352,4.042063542669722,5.394976091142528
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
