NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0009759338183655,0.22073670648767327
2,I(OTH_EMP + OFF_EMP),0,0.8507733938857664,0.5413973661293765
3,OFF_EMP,0.49560339079141824,0.39432451790766543,0.2778054165327763
4,OTH_EMP,1.7221861748764038,0.37380407764002965,0.3127472743341319
5,RET_EMP,0.5810874612188652,2.9091738138029233,4.996322686498043
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
