NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9914431600769936,0.1958905758033389
2,I(OTH_EMP + OFF_EMP),0,0.7417257849294769,0.5612209891134957
3,OFF_EMP,0.49390414924282067,0.3898285910617587,0.24385539403896495
4,OTH_EMP,1.6258937848775836,0.39276284473960177,0.2767820740046932
5,RET_EMP,0.623202655561818,3.5533820481074554,5.627844495889092
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
