NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.136605006702693,0.22761313847531
2,I(OTH_EMP + OFF_EMP),0,0.7101016927403858,0.5587008192634043
3,OFF_EMP,0.46031933547557674,0.4518724050526415,0.26811689416090795
4,OTH_EMP,1.615558980642646,0.3250931981400905,0.311159733850045
5,RET_EMP,0.6400714886043619,3.578153447345789,4.305646517585496
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
