NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9219243833590487,0.21295545978750927
2,I(OTH_EMP + OFF_EMP),0,0.868639598493384,0.563212045994259
3,OFF_EMP,0.4389791153308151,0.40120774098556977,0.3242340860231264
4,OTH_EMP,1.5597885530500921,0.3818669379263462,0.27378064176940065
5,RET_EMP,0.59682982443686206,2.95042066170999,5.003151678400071
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
