NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1014039984482487,0.20781398776473314
2,I(OTH_EMP + OFF_EMP),0,0.7446512362133487,0.47721678275004226
3,OFF_EMP,0.5618902054890442,0.3682204537269617,0.29193619504923135
4,OTH_EMP,1.8378587096065422,0.34054026488112976,0.2657771186567639
5,RET_EMP,0.6281678941570982,3.758392038129758,5.419039103655301
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
