NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.038810939402378,0.15463166173498563
2,I(OTH_EMP + OFF_EMP),0,0.8874110773507633,0.49537491835916403
3,OFF_EMP,0.46561733931255056,0.43443110588958234,0.27995827821561686
4,OTH_EMP,1.631152217814794,0.47368177409346024,0.2939715509186776
5,RET_EMP,0.5326005882070466,3.9523843498177538,5.145582870476317
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
