NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.007658916211135,0.2306720089523263
2,I(OTH_EMP + OFF_EMP),0,0.6590831410386291,0.5320182493538073
3,OFF_EMP,0.41276295530978374,0.40636002064241117,0.2765720432951725
4,OTH_EMP,1.5460742838710673,0.36672960709547586,0.2579950419705208
5,RET_EMP,0.7390333928272023,3.7011313923301423,4.97242597293466
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
