NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9092482232419092,0.21945246082666506
2,I(OTH_EMP + OFF_EMP),0,0.7190626952807908,0.5874416562393698
3,OFF_EMP,0.4698669422117423,0.4087365254783012,0.32773460517293435
4,OTH_EMP,1.6923608087200894,0.4190250760822497,0.29870390260464647
5,RET_EMP,0.6574421736778547,3.623571386422174,5.726149905902038
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
