NVAR,VAR,HBW,HBO,NHB
1,HH,0,0.9499887609950232,0.18359338703240832
2,I(OTH_EMP + OFF_EMP),0,0.7139090232752865,0.5826594887093877
3,OFF_EMP,0.5115969872277415,0.4645569868601766,0.3015620390064146
4,OTH_EMP,1.716085785531964,0.4229159987858866,0.2555419538048277
5,RET_EMP,0.48967209329601014,3.5067448750830206,4.7383568300743155
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
